codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-01,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-01,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-02,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-02,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-03,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-03,12.5,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-03,4.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-04,3.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-04,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-04,0.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-05,0.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-05,12.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-05,2.3,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-06,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-06,10.7,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-06,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-07,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-07,4.4,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-07,0.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-08,1.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-08,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-08,3.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-09,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-09,5.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-10,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-10,2.9,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-11,1.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-11,3.9,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-17,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-17,0.7,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-17,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-18,8.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-18,7.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-19,11.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-19,0.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-20,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-20,1.7,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-01-31,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-01-31,0.7,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-01-31,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-01,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-01,2.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-01,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-02,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-02,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-03,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-03,0.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-03,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-04,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-04,0.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-04,0.6,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-05,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-05,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-05,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-06,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-06,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-06,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-07,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-07,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-07,0.3,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-09,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-09,1.9,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-09,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-10,13.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-10,1.6,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-10,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-11,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-11,1.9,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-11,0.4,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-12,2.5,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-12,19.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-12,3.7,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-13,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-13,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-13,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-16,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-16,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-16,0.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-17,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-17,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-17,1.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-17,0.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-18,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-18,0.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-18,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-19,5.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-19,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-19,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-20,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-20,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-20,5.5,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-20,1.5,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-21,0.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-21,7.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-21,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-22,7.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-22,3.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-22,36.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-22,4.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-24,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-24,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-24,2.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-24,1.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-25,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-25,22.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-25,11.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-25,1.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-26,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-26,1.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-26,7.4,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-26,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
